mild_winter = {
	18
	23
	26
	27
	38
	42
	44
	45
	47
	48
	50
	52
	53
	54
	55
	56
	57
	59
	62
	63
	64
	65
	68
	69
	71
	74
	80
	81
	84
	89
	93
	97
	101
	102
	113
	126
	127
	129
	136
	137
	139
	146
	150
	151
	155
	156
	161
	163
	165
	169
	173
	174
	177
	183
	189
	192
	194
	195
	197
	210
	212
	213
	214
	216
	218
	220
	222
	231
	232
	238
	239
	240
	245
	247
	248
	251
	259
	260
	262
	264
	275
	277
	280
	283
	287
	292
	293
	305
	334
	362
	363
	370
	376
	386
	393
	395
	400
	402
	406
	410
	412
	419
	420
	423
	431
	432
	434
	437
	442
	447
	449
	451
	452
	455
	460
	461
	463
	468
	469
	486
	488
	490
	494
	497
	535
}

normal_winter = {
	12
	13
	14
	15
	16
	17
	19
	20
	21
	22
	24
	25
	28
	29
	30
	31
	32
	33
	34
	35
	36
	37
	39
	40
	41
	43
	46
	49
	51
	58
	73
	75
	76
	83
	85
	88
	92
	110
	111
	112
	119
	124
	143
	147
	148
	160
	166
	168
	170
	181
	184
	185
	186
	188
	196
	205
	206
	207
	208
	215
	219
	237
	246
	252
	254
	257
	258
	270
	273
	278
	285
	300
	307
	309
	310
	311
	323
	324
	338
	342
	346
	350
	351
	356
	373
	380
	382
	387
	394
	409
	438
}

severe_winter = {
	1
	2
	3
	4
	5
	6
	7
	8
	9
	10
	11
	70
	87
	95
	99
	108
	117
	118
	144
	164
	172
	200
	230
	261
	272
	286
}

